date,L_wb,P_lake,E_lake,Q_in,Q_out
1859-11-05,1134.4935025482298,6.64285289461548,3.2140794146345186,1.520497137745382,0.8939227523943131
1859-11-06,1134.5031163664764,11.659763795307526,3.3909822616516108,2.2412305618649864,0.8961938488559132
1859-11-07,1134.507887684519,7.457739167928534,3.2113425611442623,1.4265108329602605,0.9015893972391795
1859-11-08,1134.5137042606561,8.202256235173305,3.1648805113009737,1.6834736526650973,0.9042732393192566
1859-11-09,1134.515232031889,4.779975802103626,3.2376485844204623,0.8929944709687829,0.9075504557401296
1859-11-10,1134.5190123890297,6.093410365090401,3.37226896641447,1.967627973259022,0.9084122312691062
1859-11-11,1134.523180510393,7.111699659715173,3.3526748686011643,1.3196429703899557,0.9105463979168088
1859-11-12,1134.526390401863,5.585550548550681,3.4100308869967164,1.9472741983165307,0.9129023902656883
1859-11-13,1134.5305598852287,7.240613130127227,3.23835124723751,1.0819403200513091,0.9147188370812931
1859-11-14,1134.5432332946125,13.309759828620338,3.1877456564931217,3.468476228281753,0.9170810167485882
1859-11-15,1134.5547283882606,12.603277703939085,3.3431542154538945,3.159249965616011,0.9242798060808014
1859-11-16,1134.569671506291,14.4869112928408,3.1894338472039747,4.576474331262619,0.93083374675577
1859-11-17,1134.57920880423,11.059590527276223,3.0714297149442844,2.488525496210796,0.9393883695715927
1859-11-18,1134.5752697129292,0.14216074110968221,3.2508592713962905,0.11447606225362998,0.9448688325044701
1859-11-19,1134.5759163021803,3.726510474085104,3.28477903829155,1.1474611672376998,0.9426033518639846
1859-11-20,1134.5779581220577,5.181997112466517,3.3194209291097083,1.1222187298231197,0.942975035804479
1859-11-21,1134.5773458832343,2.597767506531413,3.4058496015598765,1.139992505874178,0.9441492344202013
1859-11-22,1134.5835623368725,8.858824842688335,3.262946670965538,1.564372540813203,0.9437970743906744
1859-11-23,1134.6003524754217,16.81841389246132,3.193288382501266,4.112388888287006,0.9473758489965447
1859-11-24,1134.5979787288118,1.476172203598011,3.3153536158021204,0.42251064884543155,0.9570758465575968
1859-11-25,1134.5967733989055,2.3114866490016523,3.2742194712915578,0.7131043882694007,0.9557014722415712
