date,L_wb,P_lake,E_lake,Q_in,Q_out
1850-01-01,1134.3294685196877,0.0007468282598170948,0.003864910388704409,0.00026526552472421405,0.0008066405173913078
1850-01-02,1134.3253299181204,0.0001342859209226039,0.003550042382946226,8.379541216207389e-05,0.0008066405173913078
1850-01-03,1134.3214041246208,0.00015615172014501273,0.003478964303466075,0.00020146140961370128,0.0008044423259733448
1850-01-04,1134.3194648918266,0.0016813019935445752,0.003472925558299162,0.0006547507222998147,0.0008023599518404641
1850-01-05,1134.3183494838029,0.002665129537974523,0.0034747819828028466,0.0004955767387052738,0.0008013323176849992
1850-01-06,1134.3140734274461,0.00015251893861540706,0.003807537130157116,0.00017970337759936762,0.0008007415428038932
1850-01-07,1134.3110286492147,0.0011230901074310892,0.0037405721402424996,0.00037118256294943675,0.0007984787617696406
1850-01-08,1134.3069740645706,0.00022126142140542092,0.0036145240510957397,0.00013554748903072585,0.0007968695032571905
1850-01-09,1134.3026875071466,9.60196126018016e-05,0.003701982436476,0.0001141344637415458,0.000794729063779112
1850-01-10,1134.3002747355106,0.001530083470748592,0.0036991038888862186,0.0005487180923295316,0.0007924693103209536
1850-01-11,1134.2959227800482,3.365380305399677e-05,0.003692287018649798,9.787653975141001e-05,0.0007911987865895032
1850-01-12,1134.292250015931,0.0006526981741203408,0.0038917569817134966,0.00035520440274336835,0.0007889097124190132
1850-01-13,1134.2918203599909,0.0031992994612212557,0.003950784428627948,0.0011088095048765285,0.0007869804774478292
1850-01-14,1134.2980605904202,0.008293021702860915,0.0037824734619100048,0.002516437130415182,0.0007867549422153979
1850-01-15,1134.312458183974,0.013536584239940263,0.0036876627090486596,0.005338705780501468,0.0007900337574986599
1850-01-16,1134.3303633295009,0.016977214258063197,0.003573578556253179,0.005299134677950357,0.0007976248529811167
1850-01-17,1134.3340904574075,0.006734542107288355,0.003873536603285634,0.0016732385885956987,0.0008071161861299181
1850-01-18,1134.336290422818,0.0052776288433591684,0.0036412304697297474,0.0013726660294104737,0.0008090989924605426
1850-01-19,1134.3367229926623,0.0037341674821340545,0.003530011413421967,0.0010386842819249354,0.000810270506235108
1850-01-20,1134.3458067013846,0.011530108765292861,0.0036508055839578886,0.0020149064970453913,0.0008105009562086984
1850-01-21,1134.3535250207885,0.009677442956222044,0.0037537372356665627,0.0026099615580466693,0.000815347874599548
1850-01-22,1134.3491543664502,8.245505191535919e-05,0.0037456509802768147,0.00011201924530411251,0.0008194776550483301
1850-01-23,1134.344695748985,6.3063090543009365e-06,0.0036516118653689747,3.825886869126288e-06,0.0008171377959005199
1850-01-24,1134.3401669663674,0.0,0.003714028436918198,1.285595912654588e-10,0.0008147543091777642
1850-01-25,1134.335560942018,0.0,0.0037936874540518747,0.0,0.0008123368951376595
1850-01-26,1134.330710070318,2.321634621471425e-06,0.004054640310357084,1.1328928285031461e-05,0.0008098819526461379
1850-01-27,1134.3260354385054,6.350675974312334e-09,0.003867762950295654,4.253336420104185e-07,0.0008073005467165642
1850-01-28,1134.3218042124297,0.00021121890301303736,0.0038332152131359057,0.00019558707972082887,0.0008048168454363126
1850-01-29,1134.3171359382263,9.297513247206382e-06,0.00387987023710868,4.870568293364561e-06,0.0008025720478796602
1850-01-30,1134.3154825031004,0.0024266923502603973,0.003771192480450157,0.0004911640422461082,0.0008000990381308857
1850-01-31,1134.3139859841065,0.002393091263850536,0.003929461986941317,0.0008390757825408829,0.0007992240535738825
1850-02-01,1134.3099469650845,0.00045918922255336407,0.003965297213729359,0.0002655214916534165,0.0007984325225345334
1850-02-02,1134.3118384635625,0.005785146339260481,0.004068703556814316,0.0009713538884041806,0.0007962981928020682
1850-02-03,1134.313955429169,0.00555019301695931,0.004140028454364602,0.0015040983997355877,0.00079729735568778
1850-02-04,1134.318542092612,0.007704930698344103,0.004154768873761998,0.0018349179840020336,0.0007984163656814015
1850-02-05,1134.319975544537,0.004943269300587451,0.003988922254501868,0.0012799484212027991,0.000800843542251891
