date,L_obs,P_lake,E_lake,Q_in,Q_out
1983-01-01,1135.394,0.018400619,3.864910388704409,0.008198136858954165,1.6027005694768333
1983-01-02,1135.3964780161132,6.336296,3.550042382946226,1.2944630883684596,1.6027005694768333
1983-01-03,1135.3970315280035,4.7304287,3.478964303466075,0.9047481942254627,1.6027005694768333
1983-01-04,1135.3934674511834,1.1945449,3.472925558299162,0.3170043562633825,1.6027005694768333
1983-01-05,1135.3883899686311,0.0,3.474781982802847,0.0,1.6027005694768333
1983-01-06,1135.3829797309315,0.0,3.807537130157116,0.0,1.6027005694768333
1983-01-07,1135.3776364582218,0.0,3.7405721402424996,0.0,1.6027005694768333
1983-01-08,1135.3724192336012,0.0,3.6145240510957395,0.0,1.6027005694768333
1983-01-09,1135.3671145505953,0.0,3.701982436476,0.0,1.6027005694768333
1983-01-10,1135.3621315917503,0.22473545,3.6991038888862184,0.09411015659691821,1.6027005694768333
1983-01-11,1135.357728012742,0.80459136,3.692287018649798,0.0868172379189092,1.6027005694768333
1983-01-12,1135.3526153354717,0.3523986,3.8917569817134967,0.029381672022261204,1.6027005694768333
1983-01-13,1135.3472208178723,0.148238,3.950784428627948,0.010729395655363669,1.6027005694768333
1983-01-14,1135.342161165399,0.3106666,3.782473461910005,0.01485496058140983,1.6027005694768333
1983-01-15,1135.3386793786206,1.2983948,3.68766270904866,0.5101817474837135,1.6027005694768333
1983-01-16,1135.3374955947047,3.1785004,3.573578556253179,0.8139948723057732,1.6027005694768333
1983-01-17,1135.3341621450784,1.4493475,3.873536603285634,0.6934400729221599,1.6027005694768333
1983-01-18,1135.3304790054324,1.2292885,3.6412304697297473,0.33150298761860103,1.6027005694768333
1983-01-19,1135.3350935267854,7.5500207,3.530011413421967,2.197212633777058,1.6027005694768333
1983-01-20,1135.3308264573157,0.70797414,3.650805583957889,0.2784625501912424,1.6027005694768333
1983-01-21,1135.3317865158165,5.0032005,3.753737235666563,1.3132959277138851,1.6027005694768333
1983-01-22,1135.3278501727782,1.0254185,3.7456509802768148,0.3865899935482845,1.6027005694768333
1983-01-23,1135.3264080725883,2.7962768,3.6516118653689746,1.0159355394837526,1.6027005694768333
1983-01-24,1135.3243895332607,2.4771895,3.714028436918198,0.8210001528238299,1.6027005694768333
1983-01-25,1135.3214322664726,1.9699035,3.7936874540518746,0.4692177607760915,1.6027005694768333
1983-01-26,1135.319063638675,2.8907819,4.054640310357084,0.3979311172859812,1.6027005694768333
1983-01-27,1135.3135931751553,0.0,3.867762950295654,0.0,1.6027005694768333
1983-01-28,1135.312120418459,3.2761798,3.833215213135906,0.6869793086369281,1.6027005694768333
1983-01-29,1135.3104739040136,2.885662,3.87987023710868,0.950394342103026,1.6027005694768333
1983-01-30,1135.310233510142,4.327642,3.771192480450157,0.8058573781734474,1.6027005694768333
1983-01-31,1135.3151785590346,9.315271,3.9294619869413174,1.1619405182882336,1.6027005694768333
1983-02-01,1135.3110777237418,1.1465673,3.965297213729359,0.2999061811180186,1.5820116636636896
1983-02-02,1135.3105832640242,3.9053757,4.068703556814316,1.250879781882132,1.5820116636636896
1983-02-03,1135.3123458095758,6.043164,4.140028454364602,1.441422075906739,1.5820116636636896
1983-02-04,1135.3109970520854,3.2931352,4.1547688737619985,1.0948878435903482,1.5820116636636896
1983-02-05,1135.3116566432996,4.3934913,3.988922254501868,1.837033703902811,1.5820116636636896
1983-02-06,1135.3177813426475,9.5904875,3.8397480781541318,1.9559711627607146,1.5820116636636896
1983-02-07,1135.3149234543737,2.3095708,3.947524737682587,0.36207733999304587,1.5820116636636896
1983-02-08,1135.3098739593697,0.48807397,4.114024076382637,0.1584667637558732,1.5820116636636896
1983-02-09,1135.304265010715,0.009049112,4.03689611572661,0.0009100123751650336,1.5820116636636896
1983-02-10,1135.2985851965493,0.058965735,4.179258022601939,0.022489785004332213,1.5820116636636896
1983-02-11,1135.3003740424463,5.82023,4.072113460803746,1.6227409062029965,1.5820116636636896
1983-02-12,1135.296201042277,0.9982416,3.9720008214811893,0.3827707219577399,1.5820116636636896
1983-02-13,1135.2931348417349,1.4445829,3.813029940152012,0.884258117711383,1.5820116636636896
1983-02-14,1135.2937489274416,3.5325844,3.7716376317927947,2.4351504785450366,1.5820116636636896
1983-02-15,1135.2882408904627,0.0,3.9260253151455387,0.0,1.5820116636636896
1983-02-16,1135.2854063487393,2.131944,4.1205355702115165,0.7360616865532749,1.5820116636636896
1983-02-17,1135.2822220193088,2.3251643,4.217366573605465,0.28988441979227336,1.5820116636636896
1983-02-18,1135.2782223886811,1.1562517,4.084803174700601,0.5109325660351384,1.5820116636636896
1983-02-19,1135.2790272183802,5.5993724,4.187589670718542,0.9750584787984655,1.5820116636636896
1983-02-20,1135.27467619777,1.2622252,4.377811202010426,0.3465770449154911,1.5820116636636896
1983-02-21,1135.2697403896914,0.8573683,4.4973947091872235,0.2862300080280945,1.5820116636636896
1983-02-22,1135.2646789289497,0.64606816,4.4578986963192975,0.3323814858120056,1.5820116636636896
1983-02-23,1135.2587747173682,0.013028296,4.350671557599617,0.015443343647858458,1.5820116636636896
1983-02-24,1135.2542521862842,1.322108,4.410161266514338,0.14753375837251956,1.5820116636636896
1983-02-25,1135.2485509417925,0.013090651,4.16570391392232,0.033380435782494985,1.5820116636636896
1983-02-26,1135.2429136551582,0.013589926,4.111361670380822,0.04249677345131396,1.5820116636636896
1983-02-27,1135.2371356143622,0.0042321193,4.211097837458774,0.010836585734385175,1.5820116636636896
